OID_,CID,POINT_X,POINT_Y,OID_1
1,68,-68.248809326572200,44.149115293801401,
2,68,-68.249015053653523,44.151532381075583,
3,68,-68.248441414855733,44.147021481892295,
4,68,-68.245551853751579,44.142349346063497,
5,68,-68.248137386529493,44.150151548450253,
6,68,-68.249248872267572,44.144387039931757,
7,68,-68.249736905404234,44.157129944722669,
8,68,-68.247711653296619,44.157478115066226,
9,68,-68.245044403307759,44.155630837817398,
10,68,-68.244440119749811,44.143692188335024,
11,68,-68.247891843726222,44.150823645102207,
12,68,-68.252270825766061,44.151705848455038,
13,68,-68.250300310705427,44.151720708692721,
14,68,-68.250012600531704,44.155769729671647,
15,68,-68.248434250440539,44.143927773684482,
16,68,-68.250485198373724,44.156354471391751,
17,68,-68.248085624574912,44.154901355944048,
18,68,-68.248775432131254,44.155555673145216,
19,68,-68.247792276284031,44.147036311526733,
20,68,-68.250022124766417,44.153438816643018,
21,68,-68.250861827797792,44.149546538067113,
22,68,-68.246659140394740,44.146260748933173,
23,68,-68.247675937749250,44.151591649827765,
24,68,-68.246132558236127,44.146100457611283,
25,68,-68.245777039104837,44.148795065342711,
26,68,-68.250812230618749,44.154171429356779,
27,68,-68.251557902942693,44.152046802605639,
28,68,-68.244647459280429,44.146036621080384,
29,68,-68.246911106308744,44.145824855093224,
30,68,-68.244539504742136,44.143253777507539,
31,68,-68.246397332341360,44.153902733473842,
32,68,-68.248618907598882,44.149354454072181,
33,68,-68.246722152237055,44.145152371499819,
34,68,-68.244475742474322,44.142338606299404,
35,68,-68.244473844780828,44.144790067396627,
36,68,-68.248765771281114,44.150009642747420,
37,68,-68.247104491325558,44.153543971952217,
38,68,-68.245317342608189,44.147286940254787,
39,68,-68.244757554234752,44.142941036088473,
40,68,-68.250821288641930,44.155883829312529,
41,68,-68.245074885466408,44.146586066974521,
42,68,-68.245681197702595,44.154425537800591,
43,68,-68.244056448733772,44.144382001840881,
44,68,-68.245346437974376,44.144343016632945,
45,68,-68.244493312180794,44.145537330201194,
46,68,-68.247270373890899,44.149078554146911,
47,68,-68.249265735555980,44.150173701909409,
48,68,-68.247254825188747,44.155902511107456,
49,68,-68.250135774600835,44.148060276667650,
50,68,-68.247952085641316,44.142824360482962,
51,68,-68.244523110825241,44.142806579497403,
52,68,-68.246509916545449,44.156855989327028,
53,68,-68.250062456382238,44.151420817098654,
54,68,-68.250410414786472,44.156432041166909,
55,68,-68.247921249926094,44.151111712287786,
56,68,-68.248453890360167,44.147361110063400,
57,68,-68.247724886722551,44.147333954184433,
58,68,-68.245854238136815,44.146632508107928,
59,68,-68.245936991349197,44.154872327170892,
60,68,-68.249267710212109,44.149156459297330,
61,68,-68.252046080270532,44.150748704383659,
62,68,-68.252657003226091,44.155355646877297,
63,68,-68.251528859614268,44.151080071906790,
64,68,-68.246859452844205,44.143846752249772,
65,68,-68.251384564060231,44.154494710317749,
66,68,-68.244607521183241,44.156359353143671,
67,68,-68.247556150837909,44.142739730756773,
68,68,-68.249187877550128,44.156356014697337,
69,68,-68.246629917639837,44.144751012532936,
70,68,-68.245356636778126,44.142585064581453,
71,68,-68.248598205660073,44.154788929548431,
72,68,-68.249622314600117,44.144880326747909,
73,68,-68.245618191933886,44.143612681782201,
74,68,-68.248308545680402,44.156656217286354,
75,68,-68.247663808873085,44.157127711350938,
76,68,-68.246844193073002,44.156057482669269,
77,68,-68.246148966598923,44.156160501293471,
78,68,-68.246571543840730,44.157517548188082,
79,68,-68.245365799740057,44.143599324984052,
80,68,-68.250862160697181,44.150640064462607,
81,68,-68.252176733697411,44.149634840022770,
82,68,-68.249335478842568,44.149508781785130,
83,68,-68.244772384383396,44.156395115256373,
84,68,-68.247787854293904,44.147940193696002,
85,68,-68.247351690820722,44.144340695027665,
86,68,-68.250484702670235,44.153581795251682,
87,68,-68.252090752307254,44.149770541399278,
88,68,-68.250907433347891,44.155272520507481,
89,68,-68.246586220762993,44.150745672153391,
90,68,-68.250734923881168,44.151151326485717,
91,68,-68.250247883201382,44.152164622929263,
92,68,-68.252129415173556,44.155213977010533,
93,68,-68.246210270942925,44.145214062337857,
94,68,-68.246941733677829,44.141922026571876,
95,68,-68.244475710200845,44.146496138385828,
96,68,-68.251049721395361,44.153848680001033,
97,68,-68.250604076203842,44.155391307269269,
98,68,-68.244845869049755,44.146254909151764,
99,68,-68.247300586538927,44.153649855103140,
100,68,-68.243633755857786,44.143843298818638,
101,68,-68.244736680350229,44.146364539648800,
102,68,-68.248097980841521,44.155409885339736,
103,68,-68.247105426513201,44.144771677882034,
104,68,-68.249168821372450,44.144223087987598,
105,68,-68.246785323742245,44.155978984878573,
106,68,-68.248306704504500,44.143046123035788,
107,68,-68.247534183319260,44.143237115769807,
108,68,-68.249540223044789,44.154910906946554,
109,68,-68.247354851007060,44.152317111645516,
110,68,-68.245456969202962,44.144906030551283,
111,68,-68.246026645444999,44.141461543610603,
112,68,-68.245003655934113,44.143421424860833,
113,68,-68.248315796947566,44.146706015986297,
114,68,-68.245762305807716,44.146409964364693,
115,68,-68.245833966219777,44.154968753107312,
116,68,-68.248674121553620,44.151388503843293,
117,68,-68.246436123047829,44.148701366358694,
118,68,-68.252300219760230,44.155383452351145,
119,68,-68.245363889340865,44.143442972756020,
120,68,-68.246434577461969,44.147028348935578,
121,68,-68.245855090081989,44.145835524260860,
122,68,-68.247814554738568,44.143582403170228,
123,68,-68.248326572575934,44.150120763923155,
124,68,-68.248970788015072,44.146629373759879,
125,68,-68.249011984660626,44.144289378242888,
126,68,-68.250078407795513,44.154953972957742,
127,68,-68.246255558807206,44.157926502844532,
128,68,-68.249058774287505,44.154141495215924,
129,68,-68.244462896497396,44.143191578581934,
130,68,-68.250356006738457,44.149945346734626,
131,68,-68.245526894661566,44.147946015215439,
132,68,-68.245161922512693,44.157732244702117,
133,68,-68.244992259000753,44.144149929649416,
134,68,-68.251203069125438,44.150203468879113,
135,68,-68.248667402698231,44.152917437619863,
136,68,-68.251404989051025,44.151549315982720,
137,68,-68.249533380041726,44.147961088321438,
138,68,-68.251224073778928,44.154426000652393,
139,68,-68.246483771217072,44.141562249968729,
140,68,-68.246369877967197,44.150893290600607,
141,68,-68.246003315692803,44.148306957660964,
142,68,-68.249776219010926,44.155100368321655,
143,68,-68.245554301499055,44.154692467464770,
144,68,-68.245409698346691,44.146078971975271,
145,68,-68.246617658153070,44.156734025855542,
146,68,-68.245266427413696,44.155887730037023,
147,68,-68.246653979311532,44.145247831137510,
148,68,-68.244012882639254,44.156681319454322,
149,68,-68.250794185464486,44.150107919173706,
